Size,Time(ms)
500,0.05645
600,0.0648
700,0.0757998
800,0.0797166
900,0.0863166
1000,0.124733
1100,0.133892
1200,0.141059
1300,0.149242
1400,0.15695
1500,0.1659
1600,0.17595
1700,0.184092
1800,0.192308
1900,0.201792
2000,0.274475
2100,0.278475
2200,0.284625
2300,0.304158
2400,0.308808
2500,0.31655
2600,0.325258
2700,0.333842
2800,0.341275
2900,0.366767
3000,0.368967
3100,0.372467
3200,0.381225
3300,0.399992
3400,0.401459
3500,0.410742
3600,0.424083
3700,0.432292
3800,0.439225
3900,0.503958
4000,0.573834
4100,0.582875
4200,0.598091
4300,0.613709
4400,0.619784
4500,0.630575
4600,0.636992
4700,0.651884
4800,0.660183
4900,0.681075
5000,0.679617
5100,0.699758
5200,0.700608
5300,0.710133
5400,0.766675
5500,0.734008
5600,0.745792
5700,0.752841
5800,0.761891
5900,0.771975
6000,0.784608
6100,0.805742
6200,0.828717
6300,0.818692
6400,0.826717
6500,0.880408
6600,0.852633
6700,0.866475
6800,0.892475
6900,0.889392
7000,0.894959
7100,0.903058
7200,0.912934
7300,0.939433
7400,0.951934
7500,0.949
7600,0.962092
7700,0.988825
7800,1.09289
7900,1.19558
8000,1.23315
8100,1.2688
8200,1.27848
8300,1.33489
8400,1.33357
8500,1.30435
8600,1.33915
8700,1.37366
8800,1.47469
8900,1.36641
9000,1.35452
9100,1.36087
9200,1.39714
9300,1.39504
9400,1.38872
9500,1.4032
9600,1.41158
9700,1.42078
9800,1.43467
9900,1.44624
10000,1.46053
