Size,Time(ms)
500,0.0620832
600,0.0747334
700,0.0853168
800,0.0988086
900,0.113033
1000,0.132683
1100,0.145708
1200,0.157358
1300,0.170259
1400,0.182141
1500,0.1973
1600,0.210942
1700,0.226991
1800,0.2428
1900,0.258192
2000,0.28345
2100,0.295692
2200,0.316042
2300,0.330925
2400,0.344192
2500,0.356133
2600,0.365317
2700,0.382092
2800,0.389208
2900,0.432283
3000,0.4262
3100,0.447425
3200,0.457483
3300,0.473125
3400,0.482166
3500,0.501125
3600,0.526375
3700,0.53405
3800,0.549358
3900,0.576225
4000,0.600325
4100,0.612933
4200,0.630291
4300,0.653217
4400,0.66335
4500,0.6969
4600,0.694333
4700,0.713292
4800,0.713942
4900,0.738667
5000,0.742742
5100,0.7665
5200,0.772584
5300,0.782342
5400,0.800575
5500,0.815767
5600,0.832225
5700,0.849167
5800,0.864183
5900,0.882175
6000,0.892933
6100,0.9147
6200,0.934142
6300,0.941817
6400,0.959792
6500,1.00164
6600,0.996383
6700,1.00533
6800,1.03909
6900,1.06005
7000,1.06183
7100,1.07581
7200,1.09472
7300,1.11924
7400,1.13403
7500,1.15091
7600,1.18359
7700,1.18681
7800,1.22341
7900,1.25029
8000,1.26879
8100,1.29767
8200,1.31435
8300,1.3927
8400,1.36287
8500,1.36771
8600,1.4106
8700,1.45985
8800,1.48759
8900,1.46292
9000,1.42378
9100,1.43874
9200,1.48357
9300,1.47795
9400,1.49126
9500,1.49631
9600,1.50595
9700,1.52105
9800,1.53834
9900,1.55167
10000,1.57293
