Size,Time(ms)
500,0.0565668
600,0.0636334
700,0.100025
800,0.108941
900,0.116933
1000,0.12645
1100,0.133183
1200,0.141017
1300,0.167367
1400,0.213217
1500,0.224158
1600,0.23215
1700,0.240059
1800,0.248325
1900,0.260883
2000,0.268925
2100,0.277808
2200,0.28665
2300,0.294959
2400,0.304217
2500,0.312392
2600,0.359867
2700,0.446383
2800,0.454567
2900,0.466175
3000,0.473925
3100,0.483117
3200,0.495533
3300,0.508442
3400,0.516483
3500,0.526192
3600,0.537483
3700,0.556559
3800,0.567625
3900,0.569508
4000,0.582225
4100,0.585325
4200,0.599291
4300,0.616134
4400,0.624533
4500,0.652017
4600,0.6573
4700,0.666233
4800,0.67065
4900,0.671408
5000,0.676483
5100,0.689525
5200,0.77035
5300,0.873925
5400,0.94995
5500,0.956883
5600,0.964867
5700,0.998108
5800,0.990025
5900,1.00515
6000,1.01303
6100,1.03366
6200,1.02756
6300,1.04076
6400,1.053
6500,1.06448
6600,1.08628
6700,1.08395
6800,1.10357
6900,1.11805
7000,1.13801
7100,1.1632
7200,1.13739
7300,1.15258
7400,1.16822
7500,1.17769
7600,1.18597
7700,1.20058
7800,1.20942
7900,1.21842
8000,1.22941
8100,1.23995
8200,1.24963
8300,1.27521
8400,1.27323
8500,1.28888
8600,1.30706
8700,1.30837
8800,1.32413
8900,1.36672
9000,1.34498
9100,1.35691
9200,1.37082
9300,1.38123
9400,1.39675
9500,1.40262
9600,1.41771
9700,1.42616
9800,1.43546
9900,1.4418
10000,1.45444
