Size,Time(ms)
500,0.133642
600,0.1472
700,0.197284
800,0.256217
900,0.265467
1000,0.276708
1100,0.2897
1200,0.300158
1300,0.321975
1400,0.408325
1500,0.491433
1600,0.530375
1700,0.543075
1800,0.557658
1900,0.567942
2000,0.589084
2100,0.6025
2200,0.602442
2300,0.611008
2400,0.620917
2500,0.630767
2600,0.676208
2700,0.760383
2800,0.842025
2900,0.933083
3000,1.00618
3100,1.06891
3200,1.08912
3300,1.11023
3400,1.12003
3500,1.14859
3600,1.13738
3700,1.15234
3800,1.17049
3900,1.19177
4000,1.18009
4100,1.18462
4200,1.21524
4300,1.21709
4400,1.23351
4500,1.26633
4600,1.26803
4700,1.27817
4800,1.29045
4900,1.31165
5000,1.29783
5100,1.33274
5200,1.39519
5300,1.48433
5400,1.56965
5500,1.65294
5600,1.76283
5700,1.84133
5800,1.92454
5900,2.03799
6000,2.06337
6100,2.14839
6200,2.26814
6300,2.27172
6400,2.24787
6500,2.27398
6600,2.27805
6700,2.28826
6800,2.29101
6900,2.30366
7000,2.31328
7100,2.32902
7200,2.33828
7300,2.35778
7400,3.10374
7500,5.75886
7600,2.46872
7700,2.39815
7800,2.42065
7900,2.4118
8000,2.4315
8100,2.4403
8200,2.48832
8300,2.56424
8400,2.49407
8500,2.50547
8600,2.51166
8700,2.51843
8800,2.55037
8900,2.56602
9000,2.58406
9100,2.58894
9200,2.60508
9300,2.63484
9400,2.65203
9500,2.65737
9600,2.67412
9700,2.69338
9800,2.69025
9900,2.69805
10000,2.7096
