Size,Time(ms)
500,0.0417164
600,0.0508836
700,0.057217
800,0.0651834
900,0.0902418
1000,0.0959668
1100,0.102992
1200,0.111983
1300,0.119783
1400,0.128025
1500,0.137492
1600,0.1457
1700,0.183617
1800,0.193375
1900,0.208908
2000,0.22745
2100,0.227683
2200,0.231233
2300,0.248117
2400,0.257266
2500,0.263983
2600,0.27195
2700,0.284217
2800,0.290158
2900,0.304333
3000,0.316042
3100,0.321933
3200,0.33075
3300,0.394634
3400,0.399458
3500,0.408958
3600,0.42465
3700,0.429992
3800,0.439467
3900,0.451342
4000,0.461275
4100,0.470308
4200,0.484933
4300,0.491683
4400,0.502225
4500,0.519733
4600,0.532067
4700,0.536392
4800,0.544725
4900,0.554333
5000,0.568942
5100,0.590275
5200,0.587683
5300,0.598975
5400,0.6172
5500,0.618834
5600,0.640825
5700,0.6542
5800,0.653367
5900,0.664517
6000,0.674009
6100,0.682608
6200,0.703175
6300,0.724475
6400,0.730367
6500,0.8329
6600,0.851033
6700,0.85925
6800,0.8674
6900,0.878666
7000,0.896258
7100,0.89865
7200,0.923642
7300,0.92055
7400,0.936983
7500,0.9461
7600,0.955142
7700,0.966708
7800,0.97805
7900,0.9956
8000,1
8100,1.01481
8200,1.02304
8300,1.04327
8400,1.05207
8500,1.05927
8600,1.07345
8700,1.08501
8800,1.10858
8900,1.10879
9000,1.11737
9100,1.12718
9200,1.13768
9300,1.15226
9400,1.16243
9500,1.1718
9600,1.18634
9700,1.22717
9800,1.24552
9900,1.25695
10000,1.27143
