Size,Time(ms)
500,0.0735918
600,0.0849582
700,0.0971834
800,0.109692
900,0.123758
1000,0.16045
1100,0.173325
1200,0.186617
1300,0.200183
1400,0.21525
1500,0.229308
1600,0.243975
1700,0.261158
1800,0.274767
1900,0.289675
2000,0.351291
2100,0.36555
2200,0.379442
2300,0.414058
2400,0.421092
2500,0.431667
2600,0.442834
2700,0.454734
2800,0.471241
2900,0.515391
3000,0.508925
3100,0.525242
3200,0.535734
3300,0.558016
3400,0.573225
3500,0.584633
3600,0.602292
3700,0.623142
3800,0.63875
3900,0.6966
4000,0.767242
4100,0.784041
4200,0.798725
4300,0.815683
4400,0.84475
4500,0.861192
4600,0.869358
4700,0.899542
4800,0.901
4900,0.922108
5000,0.931892
5100,0.951783
5200,0.9631
5300,0.976575
5400,0.992975
5500,1.01472
5600,1.03003
5700,1.04672
5800,1.06385
5900,1.08343
6000,1.10016
6100,1.14918
6200,1.14569
6300,1.15686
6400,1.17772
6500,1.24217
6600,1.21159
6700,1.2196
6800,1.28895
6900,1.26004
7000,1.2791
7100,1.29513
7200,1.31334
7300,1.34168
7400,1.36322
7500,1.37109
7600,1.38566
7700,1.42792
7800,1.51478
7900,1.60504
8000,1.64477
8100,1.66783
8200,1.70663
8300,1.78367
8400,1.8297
8500,1.757
8600,1.80412
8700,1.83703
8800,1.95114
8900,1.86131
9000,1.82501
9100,1.84689
9200,1.87663
9300,1.89823
9400,1.91778
9500,1.92299
9600,1.92293
9700,1.96914
9800,1.97788
9900,1.9943
10000,2.00236
