Size,Time(ms)
500,0.0623416
600,0.0728
700,0.0989336
800,0.110683
900,0.1209
1000,0.133125
1100,0.144433
1200,0.156883
1300,0.1813
1400,0.2115
1500,0.223733
1600,0.23645
1700,0.2469
1800,0.25835
1900,0.270642
2000,0.283617
2100,0.296942
2200,0.308159
2300,0.320108
2400,0.333808
2500,0.347975
2600,0.382458
2700,0.440092
2800,0.449483
2900,0.459242
3000,0.473125
3100,0.484408
3200,0.499692
3300,0.511617
3400,0.526008
3500,0.537583
3600,0.549142
3700,0.560192
3800,0.594383
3900,0.590517
4000,0.598608
4100,0.613525
4200,0.633325
4300,0.654675
4400,0.662642
4500,0.70615
4600,0.700775
4700,0.71625
4800,0.714283
4900,0.72525
5000,0.7414
5100,0.754492
5200,0.811858
5300,0.881217
5400,0.933567
5500,0.942283
5600,0.950333
5700,0.9763
5800,0.976992
5900,0.993458
6000,1.0103
6100,1.02685
6200,1.02982
6300,1.04713
6400,1.05795
6500,1.06973
6600,1.09681
6700,1.09085
6800,1.10703
6900,1.12043
7000,1.14642
7100,1.15619
7200,1.16533
7300,1.17492
7400,1.19296
7500,1.19988
7600,1.2117
7700,1.22877
7800,1.24783
7900,1.26
8000,1.26762
8100,1.28369
8200,1.29723
8300,1.31649
8400,1.32932
8500,1.34361
8600,1.35587
8700,1.37186
8800,1.38599
8900,1.40733
9000,1.42192
9100,1.44158
9200,1.45147
9300,1.46274
9400,1.47954
9500,1.49377
9600,1.50537
9700,1.52328
9800,1.53462
9900,1.54707
10000,1.56041
