Size,Time(ms)
500,0.0656416
600,0.0748914
700,0.0899582
800,0.105108
900,0.123992
1000,0.137033
1100,0.1548
1200,0.167525
1300,0.184467
1400,0.2036
1500,0.218067
1600,0.233817
1700,0.261308
1800,0.275625
1900,0.293525
2000,0.324942
2100,0.330683
2200,0.338917
2300,0.356725
2400,0.378017
2500,0.3887
2600,0.415133
2700,0.424775
2800,0.442717
2900,0.458708
3000,0.480625
3100,0.496608
3200,0.5172
3300,0.554775
3400,0.569675
3500,0.584058
3600,0.602075
3700,0.620883
3800,0.63475
3900,0.652358
4000,0.677325
4100,0.685633
4200,0.718058
4300,0.7248
4400,0.739367
4500,0.777634
4600,0.797367
4700,0.7994
4800,0.814367
4900,0.83245
5000,0.857892
5100,0.885033
5200,0.903217
5300,0.904475
5400,0.931092
5500,0.942575
5600,0.968042
5700,0.998517
5800,1.02668
5900,1.03302
6000,1.05774
6100,1.0802
6200,1.08926
6300,1.15802
6400,1.13863
6500,1.20662
6600,1.20406
6700,1.23619
6800,1.23999
6900,1.25698
7000,1.27522
7100,1.29335
7200,1.31854
7300,1.33256
7400,1.35084
7500,1.37024
7600,1.38616
7700,1.40608
7800,1.43542
7900,1.44227
8000,1.47353
8100,1.48561
8200,1.50168
8300,1.53248
8400,1.54472
8500,1.56078
8600,1.59747
8700,1.6052
8800,1.62406
8900,1.64426
9000,1.65378
9100,1.68058
9200,1.69557
9300,1.72246
9400,1.73722
9500,1.75462
9600,1.77325
9700,1.82896
9800,1.86811
9900,1.89989
10000,1.91588
