Size,Time(ms)
500,0.0986416
600,0.111067
700,0.172308
800,0.187267
900,0.199667
1000,0.211642
1100,0.227725
1200,0.241217
1300,0.27055
1400,0.364342
1500,0.383017
1600,0.398542
1700,0.41535
1800,0.428317
1900,0.445342
2000,0.460083
2100,0.471208
2200,0.487808
2300,0.525633
2400,0.524092
2500,0.532275
2600,0.577483
2700,0.677308
2800,0.77155
2900,0.797983
3000,0.813367
3100,0.825658
3200,0.852908
3300,0.886125
3400,0.881567
3500,0.889241
3600,0.907142
3700,0.927067
3800,0.941808
3900,0.994792
4000,0.979817
4100,0.988325
4200,1.00595
4300,1.02978
4400,1.0442
4500,1.05307
4600,1.06424
4700,1.08501
4800,1.09769
4900,1.11851
5000,1.13302
5100,1.14472
5200,1.23309
5300,1.36623
5400,1.4849
5500,1.54678
5600,1.62667
5700,1.65564
5800,1.72526
5900,1.74688
6000,1.71011
6100,1.72634
6200,1.74393
6300,1.76415
6400,1.78716
6500,1.79738
6600,1.83766
6700,1.84925
6800,1.88233
6900,1.87558
7000,1.9066
7100,1.90311
7200,1.91651
7300,1.93871
7400,1.95842
7500,1.97901
7600,1.99093
7700,2.02776
7800,2.03172
7900,2.04026
8000,2.07844
8100,2.07766
8200,2.0971
8300,2.11894
8400,2.1314
8500,2.15604
8600,2.16648
8700,2.19232
8800,2.20931
8900,2.21892
9000,2.23321
9100,2.24851
9200,2.26334
9300,2.28534
9400,2.30122
9500,2.33823
9600,2.34147
9700,2.35832
9800,2.38803
9900,2.39583
10000,2.40877
