Size,Time(ms)
500,0.0829584
600,0.0903752
700,0.142567
800,0.152784
900,0.162375
1000,0.169925
1100,0.183475
1200,0.192425
1300,0.21645
1400,0.297342
1500,0.309817
1600,0.32215
1700,0.330817
1800,0.340517
1900,0.353508
2000,0.361558
2100,0.371709
2200,0.38385
2300,0.413025
2400,0.408525
2500,0.414966
2600,0.454658
2700,0.540591
2800,0.620592
2900,0.639608
3000,0.6498
3100,0.658158
3200,0.70305
3300,0.693108
3400,0.696275
3500,0.715258
3600,0.716908
3700,0.732317
3800,0.740875
3900,0.754042
4000,0.7649
4100,0.771983
4200,0.786292
4300,0.800008
4400,0.8141
4500,0.817867
4600,0.825833
4700,0.840683
4800,0.851783
4900,0.868225
5000,0.8797
5100,0.884975
5200,0.960058
5300,1.08884
5400,1.22857
5500,1.21915
5600,1.30107
5700,1.32285
5800,1.37457
5900,1.39537
6000,1.36325
6100,1.35986
6200,1.37966
6300,1.39334
6400,1.41244
6500,1.4204
6600,1.46078
6700,1.44823
6800,1.47742
6900,1.46839
7000,1.48873
7100,1.48648
7200,1.49271
7300,1.50984
7400,1.52896
7500,1.5491
7600,1.55571
7700,1.57133
7800,1.56777
7900,1.57063
8000,1.59247
8100,1.60413
8200,1.62694
8300,1.6337
8400,1.6486
8500,1.66248
8600,1.67443
8700,1.68632
8800,1.69718
8900,1.70889
9000,1.71424
9100,1.7319
9200,1.73388
9300,1.7475
9400,1.77395
9500,1.78163
9600,1.79965
9700,1.80826
9800,1.82013
9900,1.82859
10000,1.83925
