Size,Time(ms)
500,0.0725418
600,0.0849414
700,0.12205
800,0.135141
900,0.147458
1000,0.1611
1100,0.177533
1200,0.188358
1300,0.2187
1400,0.26595
1500,0.281958
1600,0.296725
1700,0.309683
1800,0.321958
1900,0.337375
2000,0.352817
2100,0.363375
2200,0.379442
2300,0.395133
2400,0.410183
2500,0.424816
2600,0.4732
2700,0.56065
2800,0.573217
2900,0.590467
3000,0.609275
3100,0.625375
3200,0.640792
3300,0.669
3400,0.673408
3500,0.697767
3600,0.703925
3700,0.717383
3800,0.755133
3900,0.748683
4000,0.770017
4100,0.781125
4200,0.796367
4300,0.822566
4400,0.835733
4500,0.891817
4600,0.887834
4700,0.902734
4800,0.895933
4900,0.913042
5000,0.930242
5100,0.946475
5200,1.03134
5300,1.15307
5400,1.20873
5500,1.22159
5600,1.23532
5700,1.26464
5800,1.26358
5900,1.29679
6000,1.30408
6100,1.31353
6200,1.3291
6300,1.34803
6400,1.36882
6500,1.38362
6600,1.41243
6700,1.41532
6800,1.43707
6900,1.45491
7000,1.50743
7100,1.48773
7200,1.50764
7300,1.51559
7400,1.53767
7500,1.56285
7600,1.57003
7700,1.58685
7800,1.60917
7900,1.62247
8000,1.64293
8100,1.66274
8200,1.67538
8300,1.69338
8400,1.7085
8500,1.73026
8600,1.74735
8700,1.76135
8800,1.79032
8900,1.81021
9000,1.81525
9100,1.8505
9200,1.85767
9300,1.87633
9400,1.89069
9500,1.91188
9600,1.92642
9700,1.94936
9800,1.96893
9900,1.97707
10000,1.99447
