Size,Time(ms)
500,0.0636084
600,0.0764916
700,0.094875
800,0.115825
900,0.1138
1000,0.131283
1100,0.146034
1200,0.163867
1300,0.184225
1400,0.202784
1500,0.224034
1600,0.248717
1700,0.228158
1800,0.243342
1900,0.263942
2000,0.294692
2100,0.300833
2200,0.317708
2300,0.332717
2400,0.348866
2500,0.371733
2600,0.392058
2700,0.40995
2800,0.432733
2900,0.451242
3000,0.47935
3100,0.501308
3200,0.529642
3300,0.466192
3400,0.48195
3500,0.499592
3600,0.522033
3700,0.532883
3800,0.5495
3900,0.566058
4000,0.590175
4100,0.6137
4200,0.62635
4300,0.6465
4400,0.6604
4500,0.706025
4600,0.7109
4700,0.734742
4800,0.741292
4900,0.758284
5000,0.784941
5100,0.8328
5200,0.8222
5300,0.843558
5400,0.865067
5500,0.884367
5600,0.910017
5700,0.943283
5800,0.958308
5900,0.977575
6000,1.00109
6100,1.02114
6200,1.06348
6300,1.12261
6400,1.10932
6500,1.0226
6600,0.991075
6700,1.00493
6800,1.02446
6900,1.04087
7000,1.05876
7100,1.07548
7200,1.09139
7300,1.1081
7400,1.13917
7500,1.14425
7600,1.16678
7700,1.18178
7800,1.19993
7900,1.22528
8000,1.24193
8100,1.25628
8200,1.27473
8300,1.30207
8400,1.32232
8500,1.34298
8600,1.36037
8700,1.38453
8800,1.40315
8900,1.41843
9000,1.43396
9100,1.45689
9200,1.47389
9300,1.49569
9400,1.51377
9500,1.53652
9600,1.558
9700,1.60473
9800,1.64838
9900,1.66827
10000,1.69068
